"scope_role","object_type","schema_name","object_name","status","dev_definition_sha","production_definition_sha","release_action"
"B1_FUNCTION","function","private","active_permission_mode_for_current_session()","DEV_ONLY","1a0f30853ed4","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","private","current_session_scope_allows(p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","7edcc5dc0469","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","private","module_allowed_for_current_session(p_module_key text, p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","8e7d483f9f8e","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","private","permission_context_canonical_scope(p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","a6b38ac4a102","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","admin_cancel_team_invite(p_request_id uuid, p_actor_mode text)","DEV_ONLY","182b21aacef0","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","admin_create_team_invite(p_target_user_id uuid, p_team_id uuid, p_membership_type text, p_actor_mode text)","DEV_ONLY","a6933d51db8a","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","admin_manage_team_membership(p_membership_id uuid, p_action text, p_membership_type text, p_actor_mode text)","DEV_ONLY","18ea4bd7f729","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","admin_membership_integrity_report()","DEV_ONLY","305b2fd099f3","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","admin_merge_profiles(p_keep_id uuid, p_merge_id uuid, p_field_choices jsonb, p_conflict_resolutions jsonb)","MATCH","ecaf78c7401b","ecaf78c7401b","NO_CHANGE"
"B1_FUNCTION","function","public","admin_save_user_roles_unchecked(p_user_id uuid, p_roles text[], p_coach_scopes jsonb, p_manager_scopes jsonb, p_association_admin_associations uuid[], p_club_admin_scopes jsonb, p_actor_mode text)","DEV_ONLY","d78e5f6acdf4","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","admin_save_user_roles(p_user_id uuid, p_roles text[], p_coach_scopes jsonb, p_manager_scopes jsonb, p_association_admin_associations uuid[], p_club_admin_scopes jsonb, p_actor_mode text)","DEV_ONLY","8110a2ee75ac","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","admin_save_user_roles(p_user_id uuid, p_roles text[], p_coach_scopes jsonb, p_manager_scopes jsonb, p_association_admin_associations uuid[], p_club_admin_scopes jsonb)","PRODUCTION_ONLY","","d39a400580e2","PRESERVE_AND_INVESTIGATE"
"B1_FUNCTION","function","public","admin_update_profile_details(p_user_id uuid, p_details jsonb, p_actor_mode text)","DEV_ONLY","4a6e5169d2b5","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","admin_visible_profile_ids(p_actor_mode text, p_association_id uuid, p_club_id uuid, p_team_id uuid)","DEV_ONLY","069877813896","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","administration_effective_mode(p_requested_mode text)","DEV_ONLY","43762a930ed9","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","administration_scope_allows(p_requested_mode text, p_association_id uuid, p_club_id uuid, p_team_id uuid)","DEV_ONLY","919b547a14d1","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","administration_target_profile_in_scope(p_user_id uuid, p_actor_mode text)","DEV_ONLY","76337dd95924","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","approve_membership_request(p_request_id uuid, p_assign_team boolean)","DEV_ONLY","45545e46735a","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","approve_primary_team_change(p_request_id uuid)","DEV_ONLY","85dd680650c6","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","can_manage_module_scope(p_user_id uuid, p_scope_type text, p_scope_id uuid)","DEV_ONLY","39a780e9b25c","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","can_review_primary_team_change(p_to_team_id uuid)","DEV_ONLY","ce897e707666","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","cancel_primary_team_change(p_request_id uuid)","DEV_ONLY","3b81520fab03","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","clear_module_feature_flag(p_module_key text, p_scope_type text, p_scope_id uuid)","DEV_ONLY","535422b33734","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","confirm_primary_team_change(p_request_id uuid)","DEV_ONLY","6f588d4bc246","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","decline_primary_team_change(p_request_id uuid)","DEV_ONLY","24921d082c43","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","enforce_permission_assignment_scope()","DEV_ONLY","b395096a8cd8","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","enforce_permission_set_owner_scope()","DEV_ONLY","4fd097a70715","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","get_active_permission_mode()","DEV_ONLY","23e3ffa6cf3a","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","guard_team_membership_integrity()","DEV_ONLY","4103c5ad1f37","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","guard_user_role_duplicate_insert()","DEV_ONLY","1bf50004b038","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","has_effective_permission(p_permission_key text, p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","4b736acc5f16","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","is_super_admin()","DIFFERENT","e7c29efc76b9","af0a94f33f78","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","list_permission_management_records_for_mode(p_scope_type text, p_scope_id uuid, p_actor_mode text)","DEV_ONLY","0e1e9e1c9804","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_mode_scope_allows(p_actor_mode text, p_scope_type text, p_scope_id uuid)","DEV_ONLY","d254b059d344","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_save_assignment_unchecked(p_assignment_id uuid, p_permission_set_id uuid, p_subject_type text, p_subject_key text, p_scope_type text, p_scope_id uuid, p_active boolean, p_actor_mode text)","DEV_ONLY","af44d29beb82","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_save_group_unchecked(p_group_id uuid, p_name text, p_description text, p_scope_type text, p_scope_id uuid, p_member_ids uuid[], p_active boolean, p_actor_mode text)","DEV_ONLY","229d4aad61dc","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_save_override_unchecked(p_permission_key text, p_subject_type text, p_subject_key text, p_scope_type text, p_scope_id uuid, p_allowed boolean, p_reason text, p_active boolean, p_actor_mode text)","DEV_ONLY","3570b51f609c","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_save_set_unchecked(p_permission_set_id uuid, p_name text, p_description text, p_scope_type text, p_scope_id uuid, p_permissions jsonb, p_active boolean, p_actor_mode text)","DEV_ONLY","9c0aa5e2731d","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_scope_contains(p_owner_scope_type text, p_owner_scope_id uuid, p_assignment_scope_type text, p_assignment_scope_id uuid)","DEV_ONLY","5da06d9b192a","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_scope_details(p_scope_type text, p_scope_id uuid)","DEV_ONLY","9e0fdcace2a5","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_subject_manageable(p_actor_mode text, p_subject_type text, p_subject_key text)","DEV_ONLY","e2436bed6ce3","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_subject_matches_for_mode(p_user_id uuid, p_effective_mode text, p_subject_type text, p_subject_key text, p_rule_scope_type text, p_rule_scope_id uuid)","DEV_ONLY","ede62107a740","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_subject_matches(p_user_id uuid, p_subject_type text, p_subject_key text, p_association_id uuid, p_club_id uuid, p_team_id uuid)","DEV_ONLY","749a3b6fe096","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_user_in_scope(p_user_id uuid, p_scope_type text, p_scope_id uuid)","DEV_ONLY","bd868aeef470","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_visible_profiles_for_mode(p_scope_type text, p_scope_id uuid, p_actor_mode text)","DEV_ONLY","4c3f5fa3a7ff","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","permission_visible_profiles(p_scope_type text, p_scope_id uuid)","DEV_ONLY","22ec1f7b7636","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","request_primary_team_change(p_to_team_id uuid)","DEV_ONLY","2c014122cfb5","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","resolve_effective_permission_for_mode_unchecked(p_permission_key text, p_actor_mode text, p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","2e8de4bef6c2","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","resolve_effective_permission_for_mode(p_permission_key text, p_actor_mode text, p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","e7d32702ccfd","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","resolve_effective_permission(p_permission_key text, p_user_id uuid, p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","37fe1364861f","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","resolve_module_enabled(p_module_key text, p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","e8b657c98713","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","save_permission_assignment(p_assignment_id uuid, p_permission_set_id uuid, p_subject_type text, p_subject_key text, p_scope_type text, p_scope_id uuid, p_active boolean, p_actor_mode text)","DEV_ONLY","57507ee36e65","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","save_permission_group(p_group_id uuid, p_name text, p_description text, p_scope_type text, p_scope_id uuid, p_member_ids uuid[], p_active boolean, p_actor_mode text)","DEV_ONLY","10dae97177c1","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","save_permission_override(p_permission_key text, p_subject_type text, p_subject_key text, p_scope_type text, p_scope_id uuid, p_allowed boolean, p_reason text, p_active boolean, p_actor_mode text)","DEV_ONLY","805a64f95e92","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","save_permission_set(p_permission_set_id uuid, p_name text, p_description text, p_scope_type text, p_scope_id uuid, p_permissions jsonb, p_active boolean, p_actor_mode text)","DEV_ONLY","c37d999783ec","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","set_active_permission_context(p_root_mode text, p_active_mode text, p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid)","DEV_ONLY","61316bcbefa7","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","set_active_permission_mode(p_root_mode text, p_active_mode text)","DEV_ONLY","cfba9fe85714","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","function","public","set_module_feature_flag(p_module_key text, p_scope_type text, p_scope_id uuid, p_enabled boolean, p_notes text)","DEV_ONLY","6535b1f89e67","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","routine_grant","private","active_permission_mode_for_current_session().postgres.EXECUTE","DEV_ONLY","a379d8b9ff80","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","routine_grant","private","current_session_scope_allows(p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid).postgres.EXECUTE","DEV_ONLY","aabe616f308b","","CURATE_IN_COMPATIBILITY_BRIDGE"
"B1_FUNCTION","routine_grant","private","module_allowed_for_current_session(p_module_key text, p_association_id uuid, p_club_id uuid, p_division_id uuid, p_team_id uuid).authenticated.EXECUTE","DEV_ONLY","e09352bd34ba","","CURATE_IN_COMPATIBILITY_BRIDGE"
